--------- beginning of main
03-21 02:45:27.194 30261 30386 I sharp_executorch_full: CPU inference: OMP_NUM_THREADS=8 (processors online=8)
--------- beginning of system
03-21 02:45:28.238  1581  1665 I ActivityManager: Start proc 30390:com.google.android.documentsui/u0a94 for next-top-activity {com.google.android.documentsui/com.android.documentsui.picker.TrampolineActivity}
03-21 02:45:53.095 30261 30386 D sharp_executorch_full: Part1 1x (2,4): tokPtr=0xb40000706c083af0 (after token readback)
03-21 02:45:53.095 30261 30386 D sharp_executorch_full: Part1 1x (2,4): spaPtr=0xb4000070701fbbb0 (after spatial readback)
03-21 02:45:53.098 30261 30386 D sharp_executorch_full: Part1 1x (2,4): calling Part2 forward
03-21 02:45:53.758 30261 30386 D sharp_executorch_full: Part1 1x (2,4): Part2 forward returned
03-21 02:45:54.437 30261 30386 D sharp_executorch_full: Part1 1x (3,0): getting output tensors (readback may sync Vulkan fence)
03-21 02:45:54.437 30261 30386 D sharp_executorch_full: Part1 1x (3,0): tokPtr=0xb40000706c083af0 (after token readback)
03-21 02:45:54.437 30261 30386 D sharp_executorch_full: Part1 1x (3,0): spaPtr=0xb4000070701fbbb0 (after spatial readback)
03-21 02:45:54.441 30261 30386 D sharp_executorch_full: Part1 1x (3,0): calling Part2 forward
03-21 02:45:55.164 30261 30386 D sharp_executorch_full: Part1 1x (3,0): Part2 forward returned
03-21 02:45:55.899 30261 30386 D sharp_executorch_full: Part1 1x (3,1): getting output tensors (readback may sync Vulkan fence)
03-21 02:45:55.899 30261 30386 D sharp_executorch_full: Part1 1x (3,1): tokPtr=0xb40000706c083af0 (after token readback)
03-21 02:45:55.899 30261 30386 D sharp_executorch_full: Part1 1x (3,1): spaPtr=0xb4000070701fbbb0 (after spatial readback)
03-21 02:45:55.902 30261 30386 D sharp_executorch_full: Part1 1x (3,1): calling Part2 forward
03-21 02:45:56.630 30261 30386 D sharp_executorch_full: Part1 1x (3,1): Part2 forward returned
03-21 02:45:57.390 30261 30386 D sharp_executorch_full: Part1 1x (3,2): getting output tensors (readback may sync Vulkan fence)
03-21 02:45:57.390 30261 30386 D sharp_executorch_full: Part1 1x (3,2): tokPtr=0xb40000706c083af0 (after token readback)
03-21 02:45:57.390 30261 30386 D sharp_executorch_full: Part1 1x (3,2): spaPtr=0xb4000070701fbbb0 (after spatial readback)
03-21 02:45:57.394 30261 30386 D sharp_executorch_full: Part1 1x (3,2): calling Part2 forward
03-21 02:45:58.141 30261 30386 D sharp_executorch_full: Part1 1x (3,2): Part2 forward returned
